Name,Price,GAMES,W,L,WR,K,D,A,KDA,CS,CS/M,VS,VS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,CP,(DMG/M)/(G/M)
adisbak,10,5,2,3,40%,0.8,3,8,2.93,13.6,0.46,40.2,1.36,6.6k,224,2.7k,91.5,54.3%,4.9%,13.1%,2,0.408482
Akar,165,5,1,4,20%,2,4,7.6,2.4,226,6.53,40.8,1.18,11.9k,344,14.4k,416.2,60%,12.5%,19.6%,5,1.20988
Alkan,135,5,3,2,60%,3.8,4,8.6,3.1,187.6,5.82,27.4,0.85,11k,342,16.7k,517.2,63.3%,19.4%,18.8%,4,1.51228
AmfikCZ,10,5,5,0,100%,0.6,1.8,10.2,6,115.4,3.71,30.8,0.99,8.7k,278,7.9k,254.4,53.5%,3%,14.3%,4,0.915108
BeastMartin,145,5,2,3,40%,0.4,5.2,6,1.23,21.2,0.69,56.8,1.86,7.2k,235,4k,131.7,50.8%,3.2%,13.8%,4,0.560426
Carcin_T,25,5,5,0,100%,0.4,1.8,8.4,4.89,11,0.39,65.2,2.32,6.6k,235,2.4k,85.2,40.4%,1.8%,12.1%,3,0.362553
Chmelda,350,5,5,0,100%,6,1.8,7.2,7.33,247.8,7.96,21.4,0.69,15.1k,486,20.6k,662.1,65.3%,29.7%,24.9%,4,1.36235
Dao,85,5,5,0,100%,6.4,1.6,9.6,10,232.2,7.46,43.8,1.41,14.6k,470,22.4k,717.7,79.2%,31.7%,24.1%,5,1.52702
DeeThane,20,5,5,0,100%,1.4,2.2,12,6.09,32.2,1.03,84.8,2.72,8.2k,262,4.9k,155.9,66.3%,6.9%,13.4%,3,0.595038
Dev1,330,5,3,2,60%,1,1.8,11.2,6.78,104.8,3.25,8.8,0.27,7.9k,245,4.9k,152.3,62.2%,5.1%,13.5%,3,0.621633
Freeze,360,5,3,2,60%,10.6,2.6,6.8,6.69,342.2,10.61,28,0.87,18.6k,578,35.9k,1114.8,88.8%,54.1%,31.7%,5,1.92872
Goksi,225,5,3,2,60%,2.6,2.6,14,6.38,219.6,6.81,36.2,1.12,12.9k,399,12.5k,387.2,84.7%,13.3%,21.9%,5,0.970426
